time_ps,epoch,sample_index,lo_cos,lo_neg_sin
350000,0,0,32767,0
367000,0,1,32051,-6813
383000,0,2,29934,-13328
400000,0,3,26509,-19260
417000,0,4,21925,-24351
433000,0,5,16384,-28377
450000,0,6,10126,-31163
467000,0,7,3425,-32587
483000,0,8,-3425,-32587
500000,0,9,-10126,-31163
517000,0,10,-16383,-28377
533000,0,11,-21925,-24351
550000,0,12,-26509,-19260
567000,0,13,-29934,-13328
583000,0,14,-32051,-6813
600000,0,15,-32767,0
617000,0,16,-32051,6813
633000,0,17,-29934,13328
650000,0,18,-26509,19260
667000,0,19,-21925,24351
683000,0,20,-16384,28377
700000,0,21,-10126,31163
717000,0,22,-3425,32587
733000,0,23,3425,32587
750000,0,24,10126,31163
767000,0,25,16384,28377
783000,0,26,21925,24351
800000,0,27,26509,19260
817000,0,28,29934,13328
833000,0,29,32051,6813
850000,0,30,32767,0
867000,0,31,32051,-6813
883000,0,32,29934,-13328
900000,0,33,26509,-19260
917000,0,34,21925,-24351
933000,0,35,16384,-28377
950000,0,36,10126,-31163
967000,0,37,3425,-32587
983000,0,38,-3425,-32587
1000000,0,39,-10126,-31163
1017000,0,40,-16383,-28377
1033000,0,41,-21925,-24351
1050000,0,42,-26509,-19260
1067000,0,43,-29934,-13328
1083000,0,44,-32051,-6813
1100000,0,45,-32767,0
1117000,0,46,-32051,6813
1133000,0,47,-29934,13328
1150000,0,48,-26509,19260
1167000,0,49,-21925,24351
1183000,0,50,-16384,28377
1200000,0,51,-10126,31163
1217000,0,52,-3425,32587
1233000,0,53,3425,32587
1250000,0,54,10126,31163
1267000,0,55,16384,28377
1283000,0,56,21925,24351
1300000,0,57,26509,19260
1317000,0,58,29934,13328
1333000,0,59,32051,6813
1350000,0,60,32767,0
1367000,0,61,32051,-6813
1383000,0,62,29934,-13328
1400000,0,63,26509,-19260
1417000,0,64,21925,-24351
1433000,0,65,16384,-28377
1450000,0,66,10126,-31163
1467000,0,67,3425,-32587
1483000,0,68,-3425,-32587
1500000,0,69,-10126,-31163
1517000,0,70,-16383,-28377
1533000,0,71,-21925,-24351
1550000,0,72,-26509,-19260
1567000,0,73,-29934,-13328
1583000,0,74,-32051,-6813
1600000,0,75,-32767,0
1617000,0,76,-32051,6813
1633000,0,77,-29934,13328
1650000,0,78,-26509,19260
1667000,0,79,-21925,24351
1683000,0,80,-16384,28377
1700000,0,81,-10126,31163
1717000,0,82,-3425,32587
1733000,0,83,3425,32587
1750000,0,84,10126,31163
1767000,0,85,16384,28377
1783000,0,86,21925,24351
1800000,0,87,26509,19260
1817000,0,88,29934,13328
1833000,0,89,32051,6813
1850000,0,90,32767,0
1867000,0,91,32051,-6813
1883000,0,92,29934,-13328
1900000,0,93,26509,-19260
1917000,0,94,21925,-24351
1933000,0,95,16384,-28377
1950000,0,96,10126,-31163
1967000,0,97,3425,-32587
1983000,0,98,-3425,-32587
2000000,0,99,-10126,-31163
2017000,0,100,-16383,-28377
2033000,0,101,-21925,-24351
2050000,0,102,-26509,-19260
2067000,0,103,-29934,-13328
2083000,0,104,-32051,-6813
2100000,0,105,-32767,0
2117000,0,106,-32051,6813
2133000,0,107,-29934,13328
2150000,0,108,-26509,19260
2167000,0,109,-21925,24351
2183000,0,110,-16384,28377
2200000,0,111,-10126,31163
2217000,0,112,-3425,32587
2233000,0,113,3425,32587
2250000,0,114,10126,31163
2267000,0,115,16384,28377
2283000,0,116,21925,24351
2300000,0,117,26509,19260
2317000,0,118,29934,13328
2333000,0,119,32051,6813
2350000,0,120,32767,0
2367000,0,121,32051,-6813
2383000,0,122,29934,-13328
2400000,0,123,26509,-19260
2417000,0,124,21925,-24351
2433000,0,125,16384,-28377
2450000,0,126,10126,-31163
2467000,0,127,3425,-32587
2483000,0,128,-3425,-32587
