time_ps,epoch,sample_index,adc_data,lo_cos,lo_neg_sin,mix_i,mix_q
233000,0,0,801,32051,-6813,26836173,0
250000,0,1,748,29934,-13328,25672851,-5457213
267000,0,2,663,26509,-19260,22390632,-9969344
283000,0,3,548,21925,-24351,17575467,-12769380
300000,0,4,410,16384,-28377,12014900,-13344348
317000,0,5,253,10126,-31163,6717440,-11634570
333000,0,6,86,3425,-32587,2561878,-7884239
350000,0,7,-86,-3425,-32587,294550,-2802482
367000,0,8,-253,-10126,-31163,294550,2802482
383000,0,9,-410,-16383,-28377,2561878,7884239
400000,0,10,-548,-21925,-24351,6717030,11634570
417000,0,11,-663,-26509,-19260,12014900,13344348
433000,0,12,-748,-29934,-13328,17575467,12769380
450000,0,13,-801,-32051,-6813,22390632,9969344
467000,0,14,-819,-32767,0,25672851,5457213
483000,0,15,-801,-32051,6813,26836173,0
500000,0,16,-748,-29934,13328,25672851,-5457213
517000,0,17,-663,-26509,19260,22390632,-9969344
533000,0,18,-548,-21925,24351,17575467,-12769380
550000,0,19,-410,-16384,28377,12014900,-13344348
567000,0,20,-253,-10126,31163,6717440,-11634570
583000,0,21,-86,-3425,32587,2561878,-7884239
600000,0,22,86,3425,32587,294550,-2802482
617000,0,23,253,10126,31163,294550,2802482
633000,0,24,410,16384,28377,2561878,7884239
650000,0,25,548,21925,24351,6717440,11634570
667000,0,26,663,26509,19260,12014900,13344348
683000,0,27,748,29934,13328,17575467,12769380
700000,0,28,801,32051,6813,22390632,9969344
717000,0,29,819,32767,0,25672851,5457213
733000,0,30,801,32051,-6813,26836173,0
750000,0,31,748,29934,-13328,25672851,-5457213
767000,0,32,663,26509,-19260,22390632,-9969344
783000,0,33,548,21925,-24351,17575467,-12769380
800000,0,34,410,16384,-28377,12014900,-13344348
817000,0,35,253,10126,-31163,6717440,-11634570
833000,0,36,86,3425,-32587,2561878,-7884239
850000,0,37,-86,-3425,-32587,294550,-2802482
867000,0,38,-253,-10126,-31163,294550,2802482
883000,0,39,-410,-16383,-28377,2561878,7884239
900000,0,40,-548,-21925,-24351,6717030,11634570
917000,0,41,-663,-26509,-19260,12014900,13344348
933000,0,42,-748,-29934,-13328,17575467,12769380
