time_ps,epoch,output_index,input_valid_count,cic_i,cic_q
733000,0,0,31,53865529933,-11844693663
1233000,0,1,61,290367175868,-16564016604
1733000,0,2,91,362298854349,-5457213
2233000,0,3,121,362324527200,0
2733000,0,4,151,362324527200,0
3233000,0,5,181,362324527200,0
3733000,0,6,211,362324527200,0
4233000,0,7,241,362324527200,0
4733000,0,8,271,362324527200,0
5233000,0,9,301,362324527200,0
5733000,0,10,331,362324527200,0
6233000,0,11,361,362324527200,0
7050000,1,0,31,53865529933,-11844693663
7550000,1,1,61,290367175868,-16564016604
8050000,1,2,91,362298854349,-5457213
8550000,1,3,121,362324527200,0
9050000,1,4,151,362324527200,0
9550000,1,5,181,362324527200,0
10050000,1,6,211,362324527200,0
10550000,1,7,241,362324527200,0
11050000,1,8,271,362324527200,0
11550000,1,9,301,362324527200,0
12050000,1,10,331,362324527200,0
12549000,1,11,361,362324527200,0
